objectid,ia_no,subject_id,incident_type,county_location,type_force_used,subject_resistence,officer_condition_injury,subject_sex,subject_race,disposition,status,subject_injury,date_occurred
336,UOF2018-001,subject_9612008,Use of Force,AC3,Closed Hand Strike(s),Aggressive Resistance,,Male,White,Within Policy,Completed,Treated at detention center,"January 13, 2018"
337,UOF2018-002,subject_9612009,Use of Force,AA4,Physical Force - Restrict,Active Resistance,Officer Injured,Male,White,Within Policy,Completed,Treated at hospital,"January 21, 2018"
338,UOF2018-003,subject_9612010,Use of Force,AC1,Taser Deployment,Aggressive Resistance,,Male,White,Within Policy,Completed,Treated at hospital,"January 31, 2018"
339,UOF2018-004,subject_9612017,Use of Force,AC3,Physical Force,Active Resistance,,Male,Black,Within Policy,Completed,,"March 6, 2018"
340,UOF2018-005,subject_9612013,Use of Force,AC3,Physical Force,Aggressive Resistance,,Male,White,Within Policy,Completed,,"February 18, 2018"
341,UOF2018-006,subject_9611744,Use of Force,AA4,Taser Deployment,Active Resistance,,Male,Black,Within Policy,Completed,,"April 12, 2018"
342,UOF2018-007,subject_9612033,Use of Force,AB2,Other,Aggressive Resistance,,Male,White,Within Policy,Completed,Treated at hospital,"April 27, 2018"
343,UOF2018-008,subject_9612040,Use of Force,AC1,Knee Strike,Aggressive Resistance,Officer Injured,Male,White,Within Policy,Completed,,"May 21, 2018"
344,UOF2018-009,subject_9612044,Use of Force,AA4,Other,Active Resistance,Officer Injured,Male,Black,Within Policy,Completed,,"May 25, 2018"
345,UOF2018-010,subject_9612058,Use of Force,AA4,Pepperball,Active Resistance,,Female,Black,Within Policy,Completed,,"July 4, 2018"
346,UOF2018-010,subject_9619999,Use of Force,AA4,Pepperball,Assaultive,,Group,,Within Policy,Completed,,"July 4, 2018"
347,UOF2018-011,subject_9612054,Use of Force,AA4,Physical Force - Push,Active Resistance,,Male,Black,Within Policy,Completed,Injury,"June 19, 2018"
348,UOF2018-012,subject_9619999,Use of Force,AB3,Pepperball,Assaultive,,Group,,Within Policy,Completed,,"July 4, 2018"
349,UOF2018-013,subject_9612059,Use of Force,AB1,Physical Force - Restrict,Active Resistance,,Female,White,Within Policy,Completed,,"July 15, 2018"
350,UOF2018-015,subject_9612083,Use of Force,AA4,Taser Deployment,Deadly,,Male,White,Within Policy,Completed,Treated at hospital,"August 22, 2018"
351,UOF2018-016,subject_9612085,Use of Force,AC3,Other,,,Male,Black,Within Policy,Completed,,"August 24, 2018"
352,UOF2018-017,subject_9612102,Use of Force,AC3,Taser Deployment,Active Resistance,Officer Injured,Male,White,Within Policy,Completed,Treated at hospital,"October 4, 2018"
353,UOF2018-018,subject_9612099,Use of Force,AC1,Taser Deployment,Active Resistance,,Male,White,Within Policy,Completed,Treated at hospital,"October 2, 2018"
354,UOF2018-019,subject_9612123,Use of Force,AB1,Firearm,Assault with Deadly Weapon,Officer Injured,Male,White,Within Policy,Completed,Injury,"May 11, 2018"
355,UOF2018-020,subject_9612130,Use of Force,AA2,Closed Hand Strike,Active Resistance,,Male,White,Within Policy,Completed,,"December 2, 2018"
356,UOF2018-021,subject_9612089,Use of Force,AC2,Knee Strike,Active Resistance,,Male,Black,Not Within Policy,Completed,,"September 4, 2018"
357,UOF2018-022,subject_961695,Use of Force,AC1,Knee Strike,Aggressive Resistance,,Male,White,Within Policy,Completed,,"December 15, 2018"
358,UOF2019-001,subject_9612134,Use of Force,AA1,OC Spray,Assaultive/Aggressive Resistance,,Male,White,Within Policy,Completed,,"January 24, 2019"
359,UOF2019-002,subject_9612010,Use of Force,AB4,Taser Deployment,Assaultive/Aggressive Resistance,,Male,White,Within Policy,Completed,,"January 24, 2019"
360,UOF2019-003,subject_9612139,Use of Force,AC3,Closed Hand Strike,Assaultive/Active Resistance,,Male,White,Within Policy,Completed,,"February 2, 2019"
361,UOF2019-004,subject_9611393,Use of Force,AC4,Other,Passive,,Male,White,Within Policy,Completed,,"February 7, 2019"
362,UOF2019-005,subject_9612144,Use of Force,AC3,Physical Force,Active Resistance,,Male,White,Within Policy,Completed,Treated at hospital,"February 10, 2019"
363,UOF2019-006,subject_961558,Use of Force,AC1,Taser Deployment,Assaultive/Aggressive Resistance,,Male,Black,Within Policy,Completed,,"February 15, 2019"
364,UOF2019-007,subject_9612158,Use of Force,AC3,Physical Force,Assaultive/Active Resistance,,Male,White,Within Policy,Completed,Minor Injury,"March 28, 2019"
365,UOF2019-008,subject_9612157,Use of Force,AC4,Physical Force,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury,"March 9, 2019"
366,UOF2019-009,subject_9612169,Use of Force,AA4,Open-Hand Strike(s),Aggressive/Active Resistance,,Male,Black,Within Policy,Completed,,"April 8, 2019"
367,UOF2019-010,subject_9619999,Use of Force,AC3,OC Spray,,,Group,,Within Policy,Completed,,"April 12, 2019"
368,UOF2019-011,subject_9612177,Use of Force,AA4,Taser Deployment,Active Resistance,,Male,Black,Within Policy,Completed,,"April 21, 2019"
