OBJECTID,objectid_1,ia_no,subject_id,incident_type,county_location,occurred_date,type_force_used,subject_resistence,officer_condition_injury,subject_sex,subject_race,disposition,status,subject_injury
1,0,RR-0000051,subject_9612685,Use of Force,AD2,20201216,Physical Force-Restraint,Active Resistance,,Female,White,Within Policy,Completed,
2,1,UOF2021-001,subject_9612464,Use of Force,AC1,20210101,Physical Force-Restr.,Passive Resistance,,Female,Black,Within Policy,Completed,
3,2,UOF2021-002,subject_9612529,Use of Force,AD1,20210102,Phsysical Force,Active Resistance,,Male,White,Within Policy,Completed,
4,3,UOF2021-003,subject_9612532,Use of Force,AB3,20210104,Phsysical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
5,4,UOF2021-004,subject_961794,Use of Force,AA4,20210105,Physical Force-Struggle,Active Resistance,Minor Injury,Male,Black,Within Policy,Completed,Treated at hospital
6,5,UOF2021-005,subject_9612326,Use of Force,AC3,20210106,Physical Force-Push Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
7,6,UOF2021-005,subject_9612326,Use of Force,AC3,20210106,Physical Force-Push Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
8,7,UOF2021-005,subject_9612326,Use of Force,AC3,20210106,Physical Force-Push Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
9,8,UOF2021-006,subject_9612534,Use of Force,AB1,20210107,Physical Force-Restr.,Assaultive,,Male,Black,Within Policy,Completed,
10,9,UOF2021-006,subject_9612534,Use of Force,AB1,20210107,Physical Force-Restr.,Assaultive,,Male,Black,Within Policy,Completed,
11,10,UOF2021-006,subject_9612534,Use of Force,AB1,20210107,Physical Force-Restr.,Assaultive,,Male,Black,Within Policy,Completed,
12,11,UOF2021-006,subject_9612534,Use of Force,AB1,20210107,Physical Force-Restr.,Assaultive,,Male,Black,Within Policy,Completed,
13,12,UOF2021-010,subject_9612537,Use of Force,AB3,20210109,Physical Force-Struggle,Active Resistance,,Female,White,Within Policy,Completed,
14,13,UOF2021-011,subject_9612540,Use of Force,AC1,20210111,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury
15,14,UOF2021-011,subject_9612540,Use of Force,AC1,20210111,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury
16,15,UOF2021-011,subject_9612540,Use of Force,AC1,20210111,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury
17,16,UOF2021-011,subject_9612540,Use of Force,AC1,20210111,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,Minor Injury
18,17,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
19,18,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
20,19,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
21,20,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
22,21,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
23,22,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
24,23,UOF2021-013,subject_9612542,Use of Force,AA4,20210112,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
25,24,UOF2021-014,subject_9612544,Use of Force,AA1,20210113,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
26,25,UOF2021-014,subject_9612544,Use of Force,AA1,20210113,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
27,26,UOF2021-014,subject_9612544,Use of Force,AA1,20210113,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
28,27,UOF2021-014,subject_9612544,Use of Force,AA1,20210113,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
29,28,UOF2021-014,subject_9612544,Use of Force,AA1,20210113,Physical Force-Restr.,Active Resistance,,Male,White,Within Policy,Completed,
30,29,UOF2021-015,subject_9612548,Use of Force,AD4,20210117,Physical Force-Restr.,Assaultive,,Female,White,Within Policy,Completed,
31,30,UOF2021-015,subject_9612548,Use of Force,AD4,20210117,Physical Force-Restr.,Assaultive,,Female,White,Within Policy,Completed,
32,31,UOF2021-019,subject_9612555,Use of Force,AA4,20210122,Physical Force-Restr.,Passive Resistance,,Female,White,Within Policy,Completed,
33,32,UOF2021-020,subject_96160,Use of Force,AA3,20210122,Physical Force-Struggle,"Aggessive, Assaultive Resistance",,Male,Black,Within Policy,Completed,
34,33,UOF2021-021,subject_9612574,Use of Force,AA4,20210123,Physical Force-Struggle,Active Resistance,,Male,White,Within Policy,Completed,
35,34,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
36,35,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
37,36,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
38,37,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
39,38,UOF2021-025,subject_9612380,Use of Force,AA4,20210128,"Physical Force- Struggle, Physical Force Restr., Physical Force-Push","Active Resistance, Assaultive Resistance, Aggressive Resistance",,Male,Black,Within Policy,Completed,
