Master Subject ID,Date Occurred,LOCATION,Subject Sex,APD Race,Subject Resistance,Subject Effects,X_COORDINATE,Y_COORDINATE,Council District,CENSUS_TRACT,COUNTY,Location 1
459309301: 20171141010,04/24/2017 12:00:00 AM,4925 CRAIGWOOD DR,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3140459,10077209,1,22.08,TRAVIS COUNTY,"78725(30.242394, -97.615386)"
193200447: 20173251424,11/21/2017 12:00:00 AM,14500 N US 183 HWY NB,M,W,DEFENSIVE RESISTANCE,SERIOUS INJURY,,,,,,-
1136565: 20172600203,09/17/2017 12:00:00 AM,300 BLK OF E 6TH ST,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,,,,,,-
458968995: 20172461694,09/03/2017 12:00:00 AM,W 6TH AND LAVACA ST,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,,,,,,-
459596071: 20172800244,10/07/2017 12:00:00 AM,E 6TH AND SAN JACINTO,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,,,,,,-
336331216: 20173420018,12/08/2017 12:00:00 AM,200 LAVACA ST,F,W,DEFENSIVE RESISTANCE,MINOR INJURY,3113125,10069731,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
209063477: 20172921755,10/19/2017 12:00:00 AM,2003 PALO DURO RD,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115302,10094991,7,15.05,TRAVIS COUNTY,"78757(30.349869, -97.732706)"
459591540: 20172660175,09/23/2017 12:00:00 AM,500 TRINITY ST,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115301,10070114,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
436339300: 20173250427,11/21/2017 12:00:00 AM,1817 E OLTORF ST,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3116626,10057547,3,23.07,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
180945667: 2017530863,02/22/2017 12:00:00 AM,523 THOMPSON LN,M,B,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3132724,10059864,3,23.1,TRAVIS COUNTY,"78742(30.235393, -97.67165)"
459491303: 201760123,01/06/2017 12:00:00 AM,314 E 6TH ST,M,H,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3115291,10070580,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459536616: 20171161892,04/26/2017 12:00:00 AM,6100 N LAMAR BLVD,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3119517,10093322,7,15.05,TRAVIS COUNTY,"78757(30.349869, -97.732706)"
191365621: 20172750239,10/02/2017 12:00:00 AM,6615 BERKMAN DR,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3130911,10089875,1,21.12,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
22546381: 2017950246,04/05/2017 12:00:00 AM,12221 N MOPAC EXPY SVRD NB,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3124635,10124175,7,18.5,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
255002061: 20171410368,05/21/2017 12:00:00 AM,12124 TIMBER HEIGHTS DR,F,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3143287,10109577,1,18.34,TRAVIS COUNTY,"78754(30.356927, -97.643722)"
459583311: 20172560978,09/13/2017 12:00:00 AM,8541 N CAPITAL OF TEXAS HWY NB,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3107161,10113348,10,17.06,TRAVIS COUNTY,"78759(30.40316, -97.753727)"
459534824: 20171120912,04/22/2017 12:00:00 AM,100 E CESAR CHAVEZ ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3113845,10069049,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459339868: 20171261456,05/06/2017 12:00:00 AM,11900 STONEHOLLOW DR,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3125173,10119665,7,18.49,TRAVIS COUNTY,"78758(30.384311, -97.706726)"
166595334: 20172521551,09/09/2017 12:00:00 AM,7404 VINTAGE HILLS DR,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3138270,10089639,1,21.13,TRAVIS COUNTY,"78723(30.30723, -97.686715)"
1091430: 2017772186,03/18/2017 12:00:00 AM,400 E 6TH ST,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115491,10070521,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
458820951: 20173461657,12/12/2017 12:00:00 AM,4509 E ST ELMO RD,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3116164,10048033,2,24.13,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
184418961: 2017541098,02/23/2017 12:00:00 AM,601 RED RIVER ST,M,W,empty hand defensive resistance,NO COMPLAINT OF INJURY/PAIN,3116133,10070242,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459523313: 2017850255,03/26/2017 12:00:00 AM,700 BLOCK E 6TH ST,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3116520,10070158,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
134024647: 20173001715,10/27/2017 12:00:00 AM,E 7TH ST / NECHES ST,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3115857,10070656,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
334171363: 20172361789,08/24/2017 12:00:00 AM,700 NECHES ST,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3115843,10070697,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
91751548: 20176900141,04/04/2017 12:00:00 AM,700 RED RIVER ST,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116193,10070596,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
458816699: 20172092165,07/28/2017 12:00:00 AM,700 E 6TH ST,M,A,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3116520,10070158,9,11,TRAVIS COUNTY,"78701(30.271191, -97.741791)"
459443771: 2017631699,03/04/2017 12:00:00 AM,1416 MONTOPOLIS DR,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3127731,10056915,3,23.18,TRAVIS COUNTY,"78741(30.227985, -97.716971)"
288622067: 20172900219,10/17/2017 12:00:00 AM,901 W BEN WHITE BLVD SVRD EB,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,3104682,10055364,3,20.03,TRAVIS COUNTY,"78745(30.206782, -97.798214)"
458852658: 2017411667,02/10/2017 12:00:00 AM,E WILLIAM CANNON DR / S IH 35 SVRD NB,M,H,mixed,COMPLAINT OF INJURY/PAIN,3106346,10042257,2,24.27,TRAVIS COUNTY,"78744(30.186349, -97.738673)"
459402299: 20172301162,08/18/2017 12:00:00 AM,425 W RIVERSIDE DR,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3112525,10067372,9,13.05,TRAVIS COUNTY,"78704(30.243217, -97.76448)"
