Master Subject ID,Date Occurred,LOCATION,Subject Sex,APD Race,Subject Resistance,Subject Effects,X_COORDINATE,Y_COORDINATE,Council District,ZIP,CENSUS_TRACT,County
5015693: 20183651046,12/31/2018 12:00:00 AM,E US 290 HWY SVRD EB / NORTHEAST DR,F,H,DEFENSIVE RESISTANCE,MINOR INJURY,3133500,10091112,1,78723,-,TRAVIS COUNTY
458877857: 20183651534,12/31/2018 12:00:00 AM,8506 SHENANDOAH DR,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3130000,10100120,4,78753,18.13,TRAVIS COUNTY
459754176: 20183651779,12/31/2018 12:00:00 AM,6600 E BEN WHITE BLVD SVRD WB,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3125575,10051237,3,78741,-,TRAVIS COUNTY
13828766: 20183651023,12/31/2018 12:00:00 AM,8100 S 1ST ST,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3098724,10039131,2,78748,-,TRAVIS COUNTY
459743208: 20183650037,12/31/2018 12:00:00 AM,6808 S IH 35 SVRD SB,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3105466,10041402,2,78745,24.22,TRAVIS COUNTY
384052160: 20183650938,12/31/2018 12:00:00 AM,1500 E PARMER LN,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3142154,10115695,7,78753,-,TRAVIS COUNTY
338559244: 20183651123,12/31/2018 12:00:00 AM,COLONY LOOP DR / WENTWORTH DR,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3150322,10081740,1,78724,-,TRAVIS COUNTY
459550739: 20183650009,12/31/2018 12:00:00 AM,405 E 7TH ST,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3115628,10070639,9,78701,-,TRAVIS COUNTY
459699351: 20183651138,12/31/2018 12:00:00 AM,1157 SALINA ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3121574,10071826,1,78702,8.04,TRAVIS COUNTY
459700358: 20183651188,12/31/2018 12:00:00 AM,8600 BLOCK S 1ST ST,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3097453,10036668,2,78748,-,TRAVIS COUNTY
255094406: 20183651541,12/31/2018 12:00:00 AM,2504 HUNTWICK DR,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3119484,10055306,3,78741,23.13,TRAVIS COUNTY
