Master Subject ID,Subject Sex,APD Race,Subject Resistance,Subject Effects,Council District,Date Occurred,ZIP,CENSUS_TRACT,LOCATION,X_COORDINATE,Y_COORDINATE,COUNTY
459642195: 20193652135,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,7,12/31/2019 12:00:00 AM,78727,-,2300 BLOCK CINDY LN,3127429,10126768,1
459887652: 20193650958,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,12/31/2019 12:00:00 AM,78701,12,710 W CESAR CHAVEZ ST,3111496,10069981,1
459887666: 20193652137,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/31/2019 12:00:00 AM,78701,11,E 6TH ST / TRINITY ST,3115415,10070416,1
459292223: 20193650206,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/31/2019 12:00:00 AM,78701,7,1300 LAVACA ST,3114254,10073670,1
170134580: 20193650884,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,5,12/31/2019 12:00:00 AM,78748,-,8600 KIMONO RIDGE DR,3092418,10039982,1
459445967: 20193640574,F,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,10,12/30/2019 12:00:00 AM,78759,17,8200 NEELY DR,3108312,10110308,1
459889397: 20193640222,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/30/2019 12:00:00 AM,78741,23,1603 E OLTORF ST,3115463,10058091,1
458909149: 20193640330,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,10,12/30/2019 12:00:00 AM,78731,-,7303 WOOD HOLLOW DR,3111103,10102934,1
459809469: 20193640125,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,3,12/30/2019 12:00:00 AM,78702,8,2800 LYONS RD,3125478,10069546,1
384502364: 20193641118,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/30/2019 12:00:00 AM,78702,-,1190 AIRPORT BLVD,3127440,10073640,1
459621969: 20193641045,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,12/30/2019 12:00:00 AM,78660,18.40,14201 N IH 35 SVRD NB,3136074,10131163,1
459276156: 20193640071,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,7,12/30/2019 12:00:00 AM,78660,18.40,508 E HOWARD LN,3140917,10124604,1
459706599: 20193640962,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/30/2019 12:00:00 AM,78741,23.14,2101 WICKERSHAM LN,3121768,10057726,1
459866331: 20193630318,M,W,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,5,12/29/2019 12:00:00 AM,78745,-,7017 MANCHACA RD,3094609,10046228,1
17445412: 20193631348,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/29/2019 12:00:00 AM,78753,18,8128 N IH 35 SVRD SB,3127901,10098807,1
459292223: 20193631218,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/29/2019 12:00:00 AM,78701,11,500 E 7TH ST,3115951,10070759,1
17105267: 20193631472,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,6,12/29/2019 12:00:00 AM,78729,-,13000 HYMEADOW DR,3098058,10140935,2
384053606: 20193630137,F,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,12/29/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459866332: 20193630318,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,12/29/2019 12:00:00 AM,78745,-,7017 MANCHACA RD,3094609,10046228,1
459150066: 20193630604,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/29/2019 12:00:00 AM,78753,18.32,11441 N IH 35 SVRD NB,3135375,10111677,1
459230266: 20193630322,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/29/2019 12:00:00 AM,78722,-,2100 MANOR RD,3121377,10076797,1
216007193: 20193620309,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/28/2019 12:00:00 AM,78723,-,6600 ED BLUESTEIN BLVD SB,3139606,10084977,1
232653061: 20193621248,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,3,12/28/2019 12:00:00 AM,78741,23.17,1401 S PLEASANT VALLEY RD,3122310,10060612,1
165058928: 20193621205,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,6,12/28/2019 12:00:00 AM,78613,203.18,11200 LAKELINE MALL DR,3092523,10143915,2
459716426: 20193610565,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,9,12/27/2019 12:00:00 AM,78701,12,710 W CESAR CHAVEZ ST,3111496,10069981,1
459060800: 20193610113,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/27/2019 12:00:00 AM,78701,11,400 RIO GRANDE ST,3112006,10070884,1
459834494: 20193610185,F,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,12/27/2019 12:00:00 AM,78744,-,2008 NOGALES TRL,3107384,10039407,1
459763858: 20193611053,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,12/27/2019 12:00:00 AM,78757,15,6812 N LAMAR BLVD,3120762,10095851,1
167513356: 20193610105,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,12/27/2019 12:00:00 AM,78759,17.54,11113 RESEARCH BLVD SVRD NB,3112945,10120642,1
459389720: 20193610823,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,3,12/27/2019 12:00:00 AM,78741,-,2410 E RIVERSIDE DR,3120441,10059515,1
351797737: 20193611755,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/27/2019 12:00:00 AM,78701,11,E 6TH ST / TRINITY ST,3115415,10070416,1
248250639: 20193611630,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,5,12/27/2019 12:00:00 AM,78748,-,11001 S 1ST ST,3096108,10025678,1
219218733: 20193611156,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/27/2019 12:00:00 AM,78702,8,1144 AIRPORT BLVD,3128398,10072590,1
184358540: 20193601183,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,12/26/2019 12:00:00 AM,78748,24.21,509 W SLAUGHTER LN,3097384,10035253,1
459881927: 20193601265,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/26/2019 12:00:00 AM,78741,23,2508 E RIVERSIDE DR,3120958,10059176,1
191365801: 20193600713,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3,12/26/2019 12:00:00 AM,78741,23.13,2347 DOUGLAS ST,3118325,10056320,1
459636657: 20193600978,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/26/2019 12:00:00 AM,78741,23,2238 E BEN WHITE BLVD SVRD WB,3115750,10052037,1
459517837: 20193601144,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,12/26/2019 12:00:00 AM,78701,11,304 E 6TH ST,3115203,10070606,1
61997796: 20193600138,M,H,PASSIVE RESISTANCE,MINOR INJURY,2,12/26/2019 12:00:00 AM,78744,24.12,5100 CREEK BEND DR,3113892,10039745,1
208798760: 20193590160,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,12/25/2019 12:00:00 AM,78701,11,500 E 7TH ST,3115951,10070759,1
166595473: 20193590813,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,12/25/2019 12:00:00 AM,78724,-,6803 COLONY PARK DR,3145213,10082979,1
459885745: 20193590400,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,7,12/25/2019 12:00:00 AM,78758,-,2320 GRACY FARMS LN,3123778,10120399,1
297011979: 20193591209,M,H,DEFENSIVE RESISTANCE,MINOR INJURY,1,12/25/2019 12:00:00 AM,78721,-,3706 GOODWIN AVE,3129254,10071249,1
135269937: 20193590968,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,12/25/2019 12:00:00 AM,78723,21,5327 CAMERON RD,3125214,10086639,1
313983937: 20193591265,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/25/2019 12:00:00 AM,78741,-,2607 S IH 35 SVRD NB,3114654,10056839,1
458900029: 20193591123,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,6,12/25/2019 12:00:00 AM,78717,-,10500 LAKELINE MALL DR,3097733,10146399,2
208208181: 20193590968,F,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,12/25/2019 12:00:00 AM,78723,21,5327 CAMERON RD,3125214,10086639,1
459364501: 20193581699,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,12/25/2019 12:00:00 AM,78758,18.20,1806 W RUNDBERG LN,3122712,10109001,1
458813411: 20193580155,M,W,PREPARATORY RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,12/24/2019 12:00:00 AM,78758,18.26,12443 METRIC BLVD,3129551,10123668,1
459859084: 20193581013,M,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,12/24/2019 12:00:00 AM,78702,9,2700 E 7TH ST,3124328,10068358,1
