Event,District,Nature,How Received,Date,Physical Contact,Less Lethal,Launch Projectile,Drew Less Lethal,Draw Weapon,Taser Pointed,Taser Fired,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B15-53281,4,Burglary,Telephone,01/13/2016 09:21:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Mentioned,false,false,,true,52,true,,,,,,,
B16-00007,4,Drunk,Officer Report,01/01/2016 01:23:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,22,true,,,,,,,
B16-00197,3,Burglary,Officer Report,01/08/2016 02:40:00 PM,false,false,false,false,true,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,35,,,true,,,,,
B16-00250,5,Suspicious Activity,Officer Report,01/03/2016 12:26:00 AM,false,false,false,false,true,,,false,false,true,Normal,false,false,Juvenile Referral,false,false,,true,15,,,true,,,,,
B16-00256,1,Assault,911 Line,01/03/2016 02:45:00 AM,true,false,false,false,false,,,false,false,true,Intoxicated,false,false,Arrestee,false,true,true,,33,true,,,,,,,
B16-00256,1,Assault,911 Line,01/03/2016 02:45:00 AM,false,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,32,true,,,,,,,
B16-00743,3,Traffic Stop,Officer Report,01/07/2016 09:00:00 PM,false,false,false,false,false,,,false,false,true,Normal,false,false,Arrestee,false,false,true,,24,true,,,,,,,
B16-00743,3,Traffic Stop,Officer Report,01/07/2016 09:00:00 PM,false,false,false,false,true,,,false,false,false,Normal,true,false,Arrestee,false,false,,true,42,true,,,,,,,
B16-01079,1,Robbery,Telephone,01/09/2016 12:06:00 PM,true,false,false,false,true,,,false,false,false,Unknown,true,false,Arrestee,false,false,,true,43,true,,,,,,,
B16-01551,4,Vehicle Theft,911 Line,01/13/2016 09:21:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Mentioned,false,false,,true,52,true,,,,,,,
B16-01697,4,Suspicious Activity,911 Line,01/14/2016 01:45:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,29,true,,,,,,,
B16-02052,4,Domestic,911 Line,01/16/2016 03:01:00 PM,true,false,false,false,false,,,false,false,true,Normal,false,false,Arrestee,false,false,,true,22,true,,,,,,,
B16-02916,4,Burglary,911 Line,01/23/2016 03:06:00 AM,false,false,false,false,true,,,false,false,false,Normal,true,false,Arrestee,false,false,,true,23,,,true,,,,,
B16-02916,4,Burglary,911 Line,01/23/2016 03:06:00 AM,false,false,false,false,true,,,false,false,false,Normal,true,false,Mentioned,false,false,,true,29,,,true,,,,,
B16-03085,2,Disturbance,911 Line,01/24/2016 07:45:00 AM,true,false,false,false,false,,,false,false,false,Mentally Disturbed,true,true,Mentioned,false,true,true,,27,true,,,,,,,
B16-03466,3,Welfare Check,Telephone,01/27/2016 03:02:00 AM,true,false,false,false,true,,,false,false,false,Intoxicated,true,false,Arrestee,false,false,,true,54,,,true,,,,,
B16-03472,3,Robbery,911 Line,01/28/2016 11:50:00 PM,false,false,false,false,true,,,false,false,false,Normal,true,false,Juvenile Referral,false,false,,true,17,,,true,,,,,
B16-03523,5,Panhandling,Telephone,01/27/2016 02:24:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Complainant,false,false,true,,30,true,,,,,,,
B16-03605,1,Alarm,Telephone,01/28/2016 05:08:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,true,true,Juvenile Referral,false,false,,true,17,true,,,,,,,
B16-03728,4,Service,Officer Report,01/29/2016 11:46:00 PM,false,false,false,false,true,,,false,false,false,Normal,true,false,Juvenile Referral,false,false,,true,17,,,true,,,,,
B16-04308,5,Warrant Service,Telephone,02/01/2016 10:13:00 PM,false,false,false,false,true,,,false,false,true,Intoxicated,true,true,Arrestee,false,false,,true,21,,,true,,,,,
B16-04308,5,Warrant Service,Telephone,02/01/2016 10:13:00 PM,false,true,false,false,true,,,false,false,true,Intoxicated,true,false,Arrestee,false,false,,true,25,,,true,,,,,
B16-05168,3,Theft,911 Line,02/09/2016 05:10:00 PM,true,false,false,false,false,,,false,false,false,Normal,false,false,Juvenile Referral,false,false,,true,16,,,true,,,,,
B16-05204,3,Alarm,Telephone,02/09/2016 04:00:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,42,true,,,,,,,
B16-05391,3,Welfare Check,Telephone,02/11/2016 09:05:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Mentioned,false,false,,true,48,true,,,,,,,
B16-05641,1,Welfare Check,Telephone,02/13/2016 08:00:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,21,true,,,,,,,
B16-05881,3,Theft,911 Line,02/15/2016 06:14:00 PM,true,false,false,false,false,,,false,false,true,Normal,false,false,Arrestee,false,false,,true,23,,,true,,,,,
B16-06101,3,Theft,911 Line,02/17/2016 03:19:00 PM,true,false,false,false,false,,,false,false,true,Normal,false,true,Mentioned,false,false,,true,23,true,,,,,,,
B16-06114,,Service,Telephone,02/17/2016 04:47:00 PM,false,false,false,false,false,,,false,false,false,,false,false,Mentioned,false,false,,true,23,true,,,,,,,
B16-06394,1,Welfare Check,911 Line,02/19/2016 06:30:00 PM,true,false,false,false,false,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,26,true,,,,,,,
B16-06582,,Fight,Telephone,02/20/2016 08:00:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,53,true,,,,,,,
B16-07108,4,Mental Health,Telephone,02/24/2016 02:13:00 PM,true,false,false,false,false,,,false,false,true,Mentally Disturbed,true,false,Arrestee,false,false,,true,40,,,true,,,,,
