CASE_NUMBER,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED,OFFICER_INJURED_MED_REQ,SUSPECT_INJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID
B7-000042,2017/01/01 00:00:00+00,154,B,M,30,ACTIVE AGGRESSION,OC SPRAY,X,,,,,X,,,,,,,,,,1
B7-000042,2017/01/01 00:00:00+00,154,B,M,30,ACTIVE AGGRESSION,OC SPRAY,X,,,,,X,,,,,,,,,,2
B7-000225,2017/01/01 00:00:00+00,1731,W,M,23,DEFENSIVE RESISTANCE,VERBAL DIRECTION,X,,,,,,,X,,,,X,X,,,3
B7-001773,2017/01/07 00:00:00+00,1415,W,M,27,DEADLY FORCE ASSAULT,HARD INTERMEDIATE WEAPON,,,,,,,,X,,,,,,X,X,4
B7-003885,2017/01/15 00:00:00+00,5,W,F,33,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,,,,,,X,,,,X,X,,,5
B7-004089,2017/01/15 00:00:00+00,2254,B,M,39,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,6
B7-004332,2017/01/17 00:00:00+00,247,B,M,37,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,,,,,,X,,,,,,X,,7
B7-005188,2017/01/20 00:00:00+00,12,W,M,25,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,8
B7-005188,2017/01/20 00:00:00+00,12,W,M,25,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,9
B7-005188,2017/01/20 00:00:00+00,12,W,M,45,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,X,10
B7-007680,2017/01/28 00:00:00+00,19,B,M,27,DEFENSIVE RESISTANCE,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,11
B7-008165,2017/01/29 00:00:00+00,2257,H,M,27,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,,,12
B7-010482,2017/02/06 00:00:00+00,2357,W,M,44,ACTIVE AGGRESSION,HARD EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,13
B7-012250,2017/02/13 00:00:00+00,245,W,M,36,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,14
B7-012250,2017/02/13 00:00:00+00,245,W,M,28,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,15
B7-012417,2017/02/13 00:00:00+00,1625,W,M,36,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,16
B7-012417,2017/02/13 00:00:00+00,1625,W,M,36,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,,17
B7-013456,2017/02/17 00:00:00+00,156,B,M,36,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,,,X,X,18
B7-013705,2017/02/17 00:00:00+00,1940,W,M,34,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,X,,X,,,,,X,,,,X,,X,,19
B7-013915,2017/02/18 00:00:00+00,1246,,,0,DESTROY INJURED ANIMAL,DESTROY INJURED ANIMAL,,,,,,,X,,,,,,,,,20
