RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED_REQ,SUSPECT_INJURED_MED_REQ,ObjectId
B8006468,2018/08/16 00:00:00+00,1039,W,M,32,DEFENSIVE RESISTANCE,HARD INTERMEDIATE WEAPON CONTROL,,,,,,,,,,X,,N,,Y,Y,1
B8-083918,2018/09/08 00:00:00+00,2115,W,M,26,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,Y,N,2
B8-119753,2018/12/28 00:00:00+00,1712,W,M,43,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,X,,,,,,,Y,N,N,N,3
B8-082238,2018/09/04 00:00:00+00,1631,W,M,40,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,Y,Y,N,4
B8-082238,2018/09/04 00:00:00+00,1637,W,M,40,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,Y,Y,N,5
B8-119558,2018/12/27 00:00:00+00,2038,,,0,,DESTROY INJURED ANIMAL,,,,,,,X,,,,,N,,,,6
B8-119539,2018/12/27 00:00:00+00,1841,B,F,19,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,N,N,N,7
B8-082238,2018/09/04 00:00:00+00,1637,W,M,0,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,Y,Y,N,8
B8-080249,2018/08/30 00:00:00+00,113,B,M,42,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,Y,Y,Y,Y,9
B8-118849,2018/12/24 00:00:00+00,2153,W,M,22,ACTIVE AGGRESSION,SOFT EMPTY HAND CONTROL,,,X,,,,,X,,,,Y,Y,N,N,10
B8-118448,2018/12/23 00:00:00+00,130,B,M,29,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,X,X,,,,,X,,,,Y,N,Y,Y,11
B8-080064,2018/08/29 00:00:00+00,1442,W,M,36,DEFENSIVE RESISTANCE,SOFT EMPTY HAND CONTROL,,,X,,,,,,,,,N,,Y,Y,12
