RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID
B9-030008,2019/04/07 00:00:00+00,2151,,,0,,Z,,,,,,,X,,,,,N,,,,1
B9-029981,2019/04/07 00:00:00+00,1852,W,M,22,E,D,,,X,,,,,,,,,N,,Y,N,2
B9-029961,2019/04/07 00:00:00+00,1759,I,M,33,F,G,,,,,,,,,,X,,N,,Y,Y,3
B9-029788,2019/04/06 00:00:00+00,230,,,0,,Z,,,,,,,X,,,,,N,,,,4
B9-029511,2019/04/06 00:00:00+00,800,W,M,51,,C,,,X,,X,,,X,,,,Y,N,Y,N,5
B9-029118,2019/04/05 00:00:00+00,155,W,M,21,E,D,,,X,,,,,X,,,,N,,Y,N,6
B9-025938,2019/03/26 00:00:00+00,822,W,M,46,E,G,,,X,,,,,X,,X,,Y,N,N,Y,7
B9-025938,2019/03/26 00:00:00+00,821,W,M,46,E,G,,,,,,,,X,,X,,Y,N,N,Y,8
B9-025898,2019/03/26 00:00:00+00,304,W,M,24,E,D,,,X,,,X,,X,,,,N,,N,N,9
B9-025593,2019/03/25 00:00:00+00,628,,,0,,Z,,,,,,,X,,,,,,,,,10
B9-025141,2019/03/23 00:00:00+00,1135,B,M,36,E,G,,,,,,,,X,,X,,N,,Y,Y,11
B9-025141,2019/03/23 00:00:00+00,1135,B,M,36,E,G,,,,,,,,,,X,,N,,Y,Y,12
B9-025141,2019/03/23 00:00:00+00,1135,B,M,36,E,G,,,,,,,,,,,,N,,Y,Y,13
B9-024442,2019/03/21 00:00:00+00,1239,,,0,,Z,,,,,,,X,,,,,N,,,,14
B9-023947,2019/03/19 00:00:00+00,2100,,,0,,Z,,,,,,,X,,,,,N,,Y,N,15
B9-023355,2019/03/18 00:00:00+00,525,,,0,,Z,,,,,,,X,,,,,N,,Y,N,16
B9-022345,2019/03/14 00:00:00+00,2042,B,M,62,D,C,,,X,,,,,X,,,,N,N,N,N,17
B9-021627,2019/03/12 00:00:00+00,1402,W,M,56,E,D,,,X,,,X,,X,,,,Y,N,N,Y,18
B9-021418,2019/03/11 00:00:00+00,2025,B,M,17,D,C,,,X,,,,,,,,,N,,Y,N,19
B9-020045,2019/03/07 00:00:00+00,1000,,,0,,Z,,,,,,,X,,,,,,,,,20
B9-019907,2019/03/07 00:00:00+00,2109,W,M,48,E,D,,X,X,,,,,X,,,,Y,N,Y,N,21
B9-019425,2019/03/05 00:00:00+00,1205,W,F,47,E,C,,,X,,,,,,,,,Y,N,N,Y,22
B9-019320,2019/03/04 00:00:00+00,2337,W,M,21,D,C,,,X,,,,,X,,,,N,,N,N,23
B9-018940,2019/03/03 00:00:00+00,2143,B,F,0,E,D,,,X,,,,,X,,,,Y,N,N,N,24
B9-018940,2019/03/03 00:00:00+00,2143,B,F,34,E,D,,,X,,,,,X,,,,Y,N,N,N,25
B9-018569,2019/03/02 00:00:00+00,1040,W,M,43,C,G,,,,,,,,X,,X,,N,,Y,Y,26
B9-018569,2019/03/02 00:00:00+00,1040,W,M,43,D,G,,,,,,,,X,,X,,N,,Y,Y,27
B9-017920,2019/02/28 00:00:00+00,0,B,M,36,F,C,,,X,,,,,X,,X,,Y,N,Y,N,28
B9-014397,2019/02/18 00:00:00+00,1045,W,F,26,E,C,,,X,,,,,X,,,,N,,Y,Y,29
B9-013355,2019/02/14 00:00:00+00,1725,W,M,46,E,C,,,X,,,,,,,,,N,,Y,N,30
B9-012866,2019/02/13 00:00:00+00,248,,,0,,,,,,,,,,,,,,,,,,31
B9-011798,2019/02/09 00:00:00+00,1022,B,M,40,E,G,,,X,,,,,X,,X,X,,,Y,Y,32
B9-011798,2019/02/09 00:00:00+00,1022,B,M,40,D,G,,,,,,,,,,X,,Y,Y,Y,Y,33
B9-011374,2019/02/08 00:00:00+00,213,,,0,E,D,,,,,,X,,,,,,N,,N,N,34
B9-009670,2019/02/02 00:00:00+00,1434,A,M,22,E,G,,,,,,,,X,,X,,N,,N,Y,35
B9-008324,2019/01/29 00:00:00+00,710,W,M,25,D,C,,,X,,,,,X,,,,N,,Y,N,36
B9-007747,2019/01/27 00:00:00+00,313,B,M,22,E,D,,,X,,,,,,,,,Y,N,Y,N,37
B9-007427,2019/01/26 00:00:00+00,38,W,M,28,B,C,,,,,,,,,,,,N,N,Y,N,38
B9-006686,2019/01/23 00:00:00+00,2242,W,M,51,E,D,,,X,,,X,,X,,,,Y,N,Y,Y,39
B9-006686,2019/01/23 00:00:00+00,2242,W,M,51,E,G,,,X,,,,,,,X,,Y,N,Y,Y,40
B9-005654,2019/01/20 00:00:00+00,324,B,M,27,C,G,,,,,,,,,,,,N,,N,,41
B9-005482,2019/01/19 00:00:00+00,1355,W,M,46,E,G,,,X,,,,,,,X,,N,,N,N,42
B9-005022,2019/01/18 00:00:00+00,602,B,F,14,E,C,,,X,,,,,,,,,N,,Y,N,43
B9-002711,2019/01/10 00:00:00+00,1605,W,M,21,C,C,,,X,,,,,,,,,Y,Y,N,N,44
B9-001507,2019/01/06 00:00:00+00,1538,W,F,29,E,C,,,X,,,,,X,,,,N,,Y,N,45
B9-001507,2019/01/06 00:00:00+00,1538,W,F,29,E,C,,,X,,,,,X,,,,N,,Y,N,46
B9-001370,2019/02/07 00:00:00+00,2115,B,M,40,D,D,,,X,,,,,X,,,,N,N,N,N,47
B9-000702,2019/01/03 00:00:00+00,2010,W,M,26,D,C,,,X,,,,,X,,,,Y,N,Y,Y,48
B8-065804,2019/04/18 00:00:00+00,2025,W,M,60,B,D,,,X,,,,,X,,,,N,,Y,N,49
 ,,,,,,,,,,,,,,,,,,,,,,,50
B9008572,2019/11/13 00:00:00+00,928,H,M,47,E,G,,,X,,,,,X,,X,,Y,N,Y,Y,51
B9-119924,2019/12/27 00:00:00+00,1708,W,M,26,D,C,,,X,,,,,X,,,,N,,Y,N,52
B9-119924,2019/12/27 00:00:00+00,1708,W,M,26,D,C,,,X,,,,,X,,,,N,,Y,,53
B9-119115,2019/12/24 00:00:00+00,949,W,M,38,D,C,,,X,,,,,X,,,,N,,Y,Y,54
B9-119059,2019/12/24 00:00:00+00,115,B,M,16,D,C,,,X,,,,,X,,,,Y,N,N,,55
B9-118284,2019/12/21 00:00:00+00,1227,W,M,48,D,G,,,,,,,,X,,X,,N,,Y,Y,56
B9-118157,2019/12/21 00:00:00+00,355,B,M,16,D,C,,,X,,,,,X,,,,Y,N,Y,N,57
B9-116912,2019/12/16 00:00:00+00,2315,W,M,39,D,D,,X,X,,,,,X,,,,N,,Y,N,58
B9-116039,2019/12/13 00:00:00+00,2100,H,M,21,D,C,,,X,,,,,X,,,,Y,Y,N,N,59
B9-113883,2019/12/06 00:00:00+00,2100,,,0,E,G,,,,,,,,,,X,,N,,N,N,60
B9-113618,2019/12/06 00:00:00+00,255,H,M,16,E,D,,,X,,,,,X,,,,Y,N,N,N,61
B9-112510,2019/12/02 00:00:00+00,1215,B,M,16,D,C,,,X,,,,,X,,,,Y,N,Y,N,62
B9-111908,2019/11/30 00:00:00+00,200,B,M,33,C,C,,,X,,,,,X,,,,N,,N,N,63
B9-111879,2019/11/30 00:00:00+00,19,W,M,36,E,D,,,,,,,,X,,,,N,,N,N,64
B9-109992,2019/11/23 00:00:00+00,213,B,M,18,E,D,,,X,,,,,,,,,Y,N,N,N,65
B9-109666,2019/11/22 00:00:00+00,515,W,M,33,D,G,,,X,,,,,X,,X,,Y,N,Y,Y,66
B9-109666,2019/11/22 00:00:00+00,515,W,M,33,D,D,,,X,,,,,X,,,,N,,Y,Y,67
B9-108061,2019/11/16 00:00:00+00,2249,I,M,39,D,C,,,X,,,,,,,,,Y,Y,N,N,68
B9-107758,2019/11/16 00:00:00+00,432,B,M,59,E,C,,,X,,,,,X,,,,Y,N,N,N,69
B9-107702,2019/11/15 00:00:00+00,2359,H,M,20,D,C,,,X,,,,,X,,,,N,,Y,N,70
B9-106512,2019/11/12 00:00:00+00,413,,,0,,Z,,,,,,,X,,,,,N,,,,71
B9-105382,2019/11/08 00:00:00+00,1428,I,M,50,B,C,,,X,,,,,X,,,,N,,Y,Y,72
B9-105345,2019/11/08 00:00:00+00,1305,H,M,16,D,C,,,,,X,,,X,,,,Y,N,Y,N,73
B9-104532,2019/11/05 00:00:00+00,2139,W,M,27,E,G,,,X,,,,,X,,X,,Y,N,N,Y,74
B9-103579,2019/11/02 00:00:00+00,112,B,M,18,D,C,,,X,,,,,X,,,,N,,Y,N,75
B9-103549,2019/11/03 00:00:00+00,1,W,M,41,E,D,,X,X,,,,,X,,,,Y,N,N,N,76
B9-103507,2019/11/02 00:00:00+00,2224,I,M,46,D,C,,,X,,,,,X,,,,Y,N,Y,Y,77
B9-102736,2019/10/31 00:00:00+00,1638,B,M,14,D,C,,,X,,,,,X,,,,N,,Y,N,78
B9-102736,2019/10/31 00:00:00+00,1638,B,M,15,E,D,,,X,,,,,,,,,N,,Y,N,79
B9-102736,2019/10/31 00:00:00+00,1638,B,M,14,D,C,,,X,,,,,,,,,N,,Y,N,80
B9-102673,2019/10/31 00:00:00+00,1115,B,M,18,D,D,,,X,,X,,,X,,,,N,N,Y,N,81
B9-102380,2019/10/30 00:00:00+00,1621,B,M,26,E,G,,,,,,,,X,,X,,N,,Y,Y,82
B9-101877,2019/10/28 00:00:00+00,2238,W,F,58,D,C,,,X,,,,,X,,,,N,,Y,N,83
B9-101708,2019/10/28 00:00:00+00,1235,B,M,15,D,C,,,X,,,,,,,,,Y,N,Y,N,84
B9-101708,2019/10/28 00:00:00+00,1235,B,M,15,D,C,,,X,,,,,X,,,,Y,N,Y,N,85
B9-101302,2019/10/27 00:00:00+00,211,B,M,23,E,D,,,,,,X,,,,,,N,,N,N,86
B9-100869,2019/10/25 00:00:00+00,2209,H,M,19,D,C,,,X,,,,,,,,,N,,N,N,87
B9-100559,2019/10/25 00:00:00+00,104,B,M,23,C,C,,X,X,,,,,,,,,N,,N,N,88
B9-099239,2019/10/20 00:00:00+00,1935,,,0,,Z,,,,,,,X,,,,,N,,,,89
B9-098358,2019/10/18 00:00:00+00,150,B,M,37,E,C,,,X,,,,,X,,,,Y,N,Y,N,90
B9-098358,2019/10/18 00:00:00+00,150,B,M,37,E,C,,,X,,,,,X,,,,Y,N,Y,N,91
B9-098358,2019/10/18 00:00:00+00,150,B,M,37,E,C,,,X,,,,,X,,,,Y,N,Y,N,92
B9-097664,2019/10/16 00:00:00+00,455,,,0,,Z,,,,,,,X,,,,,,,,,93
B9-097615,2019/10/15 00:00:00+00,2227,W,M,41,D,C,,,X,,,,,X,,,,Y,Y,N,,94
B9-096783,2019/10/13 00:00:00+00,146,W,M,22,E,D,,,,,,X,,,,,,N,,Y,N,95
B9-096783,2019/10/13 00:00:00+00,146,W,M,22,E,D,,,,,,X,,,,,,N,,N,N,96
B9-096783,2019/10/13 00:00:00+00,146,B,M,27,E,D,,,,,,X,,,,,,N,,Y,N,97
B9-096783,2019/10/13 00:00:00+00,146,B,M,24,E,D,,,,,,X,,,,,,N,N,Y,N,98
B9-096783,2019/10/14 00:00:00+00,146,B,M,24,D,C,,,X,,,,,,,,,N,N,Y,N,99
B9-095401,2019/10/08 00:00:00+00,2013,,,0,,Z,,,,,,,X,,,,,N,,N,,100
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,G,,,X,,,,,X,,X,,N,,Y,Y,101
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,D,,,X,,,,,X,,X,,N,,Y,Y,102
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,D,,,X,,,,,X,,X,,N,,Y,Y,103
B9-070595,2019/08/02 00:00:00+00,1542,I,M,0,D,C,,,X,,,,,X,,,,N,,Y,Y,104
B9-069225,2019/07/30 00:00:00+00,108,B,M,21,D,C,,,X,,,,,X,,,,N,,Y,N,105
B9-068862,2019/07/31 00:00:00+00,1715,W,M,35,F,G,,X,X,,,,,X,,X,,N,,Y,Y,106
B9-068862,2019/07/31 00:00:00+00,1715,W,M,35,F,G,,,X,,,,,X,,X,,N,,Y,Y,107
B9-068705,2019/07/28 00:00:00+00,2004,W,M,28,E,G,,,,,,,,,,,,N,Y,Y,Y,108
B9-067938,2019/07/26 00:00:00+00,1249,W,M,31,E,G,,,,,,,,,,X,,N,,Y,Y,109
B9-067826,2019/07/26 00:00:00+00,230,W,M,28,C,C,,,X,,,,,X,,,,N,,Y,N,110
B9-066644,2019/07/22 00:00:00+00,2018,W,F,60,D,C,,,X,,,,,,,,,N,,Y,N,111
