RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C0004709,2020/07/01 00:00:00+00,1526,W,M,37,E,G,,,,X,,,,,X,,X,,N,,N,Y,,1
C0-025077,2020/03/24 00:00:00+00,2130,W,M,22,D,C,,,,X,,,,,X,,,,N,,Y,N,,2
C0-119686,2020/12/31 00:00:00+00,1945,W,M,64,D,C,,,,X,,,,,X,,,,N,,Y,Y,,3
C0-119686,2020/12/31 00:00:00+00,1945,W,M,64,D,C,,,,X,,,,,X,,,,N,,Y,Y,,4
C0-119058,2020/12/29 00:00:00+00,2337,I,M,40,D,G,,,,,,,X,,,,,,N,,Y,Y,,5
C0-119058,2020/12/29 00:00:00+00,2337,I,M,40,D,G,,,,,,,X,,,,,,N,,Y,Y,,6
C0-119058,2020/12/29 00:00:00+00,2337,I,M,40,D,G,,,,,,,,,,,,X,N,,Y,Y,,7
C0-117217,2020/12/22 00:00:00+00,2314,W,M,37,D,D,,,,X,,,,,X,,,,N,,N,N,,8
C0-115955,2020/12/18 00:00:00+00,1830,,,0,,Z,,,,,,,,X,,,,,,,,,,9
C0-115951,2020/12/18 00:00:00+00,1808,B,M,36,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,10
C0-115951,2020/12/18 00:00:00+00,1808,W,F,38,E,D,,,X,X,,,,,,,,,Y,,Y,N,,11
C0-114822,2020/12/14 00:00:00+00,1753,W,M,41,D,C,,,,X,,,,,X,,,,N,,Y,N,,12
C0-114822,2020/12/14 00:00:00+00,1753,W,M,41,D,C,,,,X,,,,,X,,,,N,,Y,N,,13
C0-114822,2020/12/14 00:00:00+00,1753,W,M,46,D,C,,,,X,,,,,X,,,,N,,Y,N,,14
C0-112424,2020/12/06 00:00:00+00,1805,,,0,,Z,,,,,,,,X,,,,,,,,,,15
C0-111583,2020/12/04 00:00:00+00,534,W,F,42,D,C,,,,X,,,,,X,,,,N,N,N,N,,16
C0-111215,2020/12/02 00:00:00+00,2234,W,M,32,F,G,,,,,,,,,X,,X,,N,,Y,Y,,17
C0-110862,2020/12/01 00:00:00+00,2006,B,M,28,E,G,,,,X,,,,,X,,X,,N,,N,Y,,18
C0-109874,2020/11/28 00:00:00+00,1907,,,0,,Z,,,,,,,,X,,,,,,,,,,19
C0-109817,2020/11/28 00:00:00+00,1515,W,F,68,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,20
C0-109294,2020/11/26 00:00:00+00,1428,W,F,31,D,D,,,,X,,,,,,,,,N,,Y,N,,21
