RKY,DATE,TIME,RACE,SEX,AGE,RLV,FLV,NPP,F6INONE,PP,COA,AC,SP,OC,FIRE,CUF,NBA,TA,DOG,OINJ,OMED,SINJ,SMED,ObjectId
C3-115473,2023/12/31 00:00:00+00,1970/01/01 00:00:01.001+00,W,F,30,D,C,,,,X,,,,,X,,,,Y,Y,Y,N,1
C3-115137,2023/12/30 00:00:00+00,1970/01/01 00:00:00.035+00,B,M,68,D,C,,,,X,,,,,X,,,,N,,Y,Y,2
C3-115137,2023/12/30 00:00:00+00,1970/01/01 00:00:00.035+00,B,M,68,D,C,,,,X,,,,,X,,,,N,,Y,Y,3
C3-114971,2023/12/29 00:00:00+00,1970/01/01 00:00:01.222+00,B,M,27,D,C,,,,X,,,,,,,,,Y,Y,Y,N,4
C3-113535,2023/12/23 00:00:00+00,1970/01/01 00:00:00.120+00,B,M,24,E,D,,,,X,,,X,,X,,,,Y,N,N,N,5
C3-112215,2023/12/18 00:00:00+00,1970/01/01 00:00:01.330+00,W,M,42,E,D,,,,X,,,X,,X,,,,N,N,N,Y,6
C3-111890,2023/12/17 00:00:00+00,1970/01/01 00:00:00.939+00,H,M,0,F,H,,,,,,,,X,,,,,N,N,N,N,7
C3-110485,2023/12/12 00:00:00+00,1970/01/01 00:00:01.410+00,B,M,25,E,G,,,,,,,,,,,X,,N,,Y,Y,8
C3-110485,2023/12/12 00:00:00+00,1970/01/01 00:00:01.410+00,B,M,25,C,D,,,,,,,X,,,,,,N,,Y,Y,9
C3-110296,2023/12/11 00:00:00+00,1970/01/01 00:00:01.900+00,B,M,45,D,G,,,,X,,,,,X,,X,,N,,Y,Y,10
C3-110296,2023/12/11 00:00:00+00,1970/01/01 00:00:01.900+00,B,M,45,D,D,,,,X,,,,,X,,,,N,,Y,Y,11
C3-110026,2023/12/10 00:00:00+00,1970/01/01 00:00:02.250+00,U,M,38,F,G,,,,,,,,,,,X,,N,,Y,Y,12
C3-109913,2023/12/10 00:00:00+00,1970/01/01 00:00:01.232+00,H,M,23,D,C,,,,X,,,,,X,,,,,N,N,N,13
C3-109248,2023/12/08 00:00:00+00,1970/01/01 00:00:01.116+00,W,F,16,E,C,,,,X,,,,,X,,,,N,,Y,Y,14
C3-108485,2023/12/05 00:00:00+00,1970/01/01 00:00:01.738+00,W,M,47,E,G,,,,,,,,,,,X,,N,N,Y,Y,15
C3-108485,2023/12/05 00:00:00+00,1970/01/01 00:00:01.738+00,W,M,47,E,G,,,,,,,,,,,,,N,N,Y,Y,16
C3-108301,2023/12/05 00:00:00+00,1970/01/01 00:00:00.351+00,W,M,43,B,D,,,,,,,X,,X,,,X,N,,Y,Y,17
C3-108301,2023/12/05 00:00:00+00,1970/01/01 00:00:00.353+00,W,M,43,C,G,,,,,,,X,,X,,,X,N,,Y,Y,18
C3-108093,2023/12/04 00:00:00+00,1970/01/01 00:00:01.042+00,W,M,36,E,C,,,,X,,,,,X,,,,Y,N,N,N,19
C3-107780,2023/12/03 00:00:00+00,1970/01/01 00:00:00.058+00,B,M,34,D,C,,,,X,,,,,X,,,,N,,N,N,20
C3-107780,2023/12/03 00:00:00+00,1970/01/01 00:00:00.058+00,B,M,34,D,C,,,,X,,,,,X,,,,N,,N,N,21
C3-107484,2023/12/02 00:00:00+00,1970/01/01 00:00:00.107+00,W,M,21,D,G,,,,X,,,,,X,,X,,N,,N,Y,22
C3-107384,2023/12/01 00:00:00+00,1970/01/01 00:00:02.040+00,B,M,57,D,C,,,,X,,,,,X,,,,N,,Y,Y,23
C3-107384,2023/12/01 00:00:00+00,1970/01/01 00:00:02.040+00,B,M,57,D,C,,,,X,,,,,X,,,,N,,Y,Y,24
C3-106895,2023/11/30 00:00:00+00,1970/01/01 00:00:00.708+00,A,M,28,E,C,,,,X,,,,,X,,,,Y,N,N,,25
C3-106006,2023/11/27 00:00:00+00,1970/01/01 00:00:00.923+00,H,M,20,D,C,,,,X,,,,,X,,,,N,,Y,N,26
C3-105426,2023/11/25 00:00:00+00,1970/01/01 00:00:00.115+00,H,M,34,D,G,,,,,,,,,X,,X,,N,,N,Y,27
C3-104953,2023/11/22 00:00:00+00,1970/01/01 00:00:00.324+00,W,M,37,D,G,,,,X,,,,,X,,X,,N,,N,Y,28
C3-104461,2023/11/21 00:00:00+00,1970/01/01 00:00:01.221+00,W,M,35,F,H,,,,,,,,X,,,,,N,,Y,Y,29
C3-103999,2023/11/19 00:00:00+00,1970/01/01 00:00:02.106+00,H,M,38,E,G,,,,,,,,,X,,X,,N,,Y,Y,30
C3-103999,2023/11/19 00:00:00+00,1970/01/01 00:00:02.106+00,H,M,38,E,G,,,,,,,,,,,X,,N,,Y,Y,31
C3-099635,2023/11/05 00:00:00+00,1970/01/01 00:00:01.932+00,W,M,40,D,G,,,,X,,,,,,,X,,N,,Y,Y,32
C3-099447,2023/11/05 00:00:00+00,1970/01/01 00:00:00.221+00,H,M,24,D,D,,,,X,,,,,X,,,,Y,N,Y,Y,33
C3-099409,2023/11/04 00:00:00+00,1970/01/01 00:00:02.354+00,B,F,53,D,C,,,,X,,,,,X,,,,Y,N,Y,N,34
C3-099409,2023/11/04 00:00:00+00,1970/01/01 00:00:02.354+00,B,F,53,D,C,,,,X,,,,,X,,,,Y,N,Y,N,35
C3-099047,2023/11/03 00:00:00+00,1970/01/01 00:00:02.033+00,A,M,26,E,C,,,,X,,,,,X,,,,Y,N,Y,N,36
C3-097882,2023/10/31 00:00:00+00,1970/01/01 00:00:00.519+00,B,M,22,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,37
C3-097882,2023/10/31 00:00:00+00,1970/01/01 00:00:00.519+00,B,M,22,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,38
C3-097882,2023/10/31 00:00:00+00,1970/01/01 00:00:00.519+00,B,M,22,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,39
C3-096665,2023/10/27 00:00:00+00,1970/01/01 00:00:00.228+00,W,M,48,E,G,,,,,,,,,X,,X,,N,,N,Y,40
C3-095065,2023/10/22 00:00:00+00,1970/01/01 00:00:00.141+00,B,M,25,E,G,,,,,,,,,X,,X,,N,,N,Y,41
C3-093645,2023/10/18 00:00:00+00,,W,M,33,D,D,,,,X,,,,,X,,,,Y,N,Y,Y,42
C3-093336,2023/10/17 00:00:00+00,1970/01/01 00:00:00.015+00,W,M,27,F,H,,,,X,,,,X,,,,,Y,Y,Y,Y,43
C3-093336,2023/10/17 00:00:00+00,1970/01/01 00:00:00.015+00,W,M,27,F,C,,,,X,,,,,,,,,Y,Y,Y,Y,44
C3-092801,2023/10/15 00:00:00+00,1970/01/01 00:00:00.308+00,B,M,26,D,C,,,,X,,,,,X,,,,Y,Y,N,N,45
C3-091775,2023/10/11 00:00:00+00,1970/01/01 00:00:01.742+00,W,M,46,D,C,,,,X,,,,,X,,,,N,N,N,Y,46
C3-091467,2023/10/10 00:00:00+00,1970/01/01 00:00:01.948+00,,,0,,Z,,,,,,,,X,,,,,N,,,,47
C3-090897,2023/10/09 00:00:00+00,1970/01/01 00:00:00.257+00,H,F,28,D,D,,,,X,,,,,X,,,,Y,N,Y,Y,48
C3-090410,2023/10/07 00:00:00+00,1970/01/01 00:00:01.110+00,W,F,27,D,C,,,,X,,,,,X,,,,N,,Y,Y,49
C3-090229,2023/10/06 00:00:00+00,1970/01/01 00:00:02.123+00,W,M,69,D,C,,,,X,,,,,X,,,,N,,Y,N,50
C3-089917,2023/10/05 00:00:00+00,1970/01/01 00:00:02.200+00,W,M,19,E,C,,,,X,,,,,X,,,,Y,N,N,,51
C3-089915,2023/10/05 00:00:00+00,1970/01/01 00:00:02.130+00,B,M,25,D,C,,,,X,,,,,X,,,,Y,N,Y,N,52
C3-088983,2023/10/03 00:00:00+00,1970/01/01 00:00:00.908+00,,,0,,Z,,,,,,,,X,,,,,N,,,,53
C3-088664,2023/10/02 00:00:00+00,,W,F,41,D,C,,,,X,,,,,X,,,,N,,Y,Y,54
C3-088078,2023/09/30 00:00:00+00,1970/01/01 00:00:01.825+00,H,M,25,D,C,,,X,X,,,,,X,,,,N,,N,,55
C3-087799,2023/09/30 00:00:00+00,1970/01/01 00:00:00.117+00,,,0,,Z,,,,,,,,X,,,,,N,,,,56
C3-087367,2023/09/28 00:00:00+00,1970/01/01 00:00:02.330+00,B,M,26,D,C,,,,X,,,,,X,,,,N,,,Y,57
C3-086724,2023/09/27 00:00:00+00,1970/01/01 00:00:00.414+00,W,M,37,D,D,,,,X,,,,,X,,,,N,N,Y,Y,58
C3-086724,2023/09/27 00:00:00+00,1970/01/01 00:00:00.414+00,W,M,37,D,G,,,,X,,,,,X,,X,,N,,Y,,59
C3-086724,2023/09/27 00:00:00+00,1970/01/01 00:00:00.414+00,W,M,37,D,D,,,,X,,,,,X,,,,N,,Y,Y,60
C3-086018,2023/09/25 00:00:00+00,1970/01/01 00:00:00.001+00,I,M,49,D,C,,,,X,,,,,X,,,,N,,Y,N,61
