Incident Number,Date,Hour,Location (Zipcode),Initial Service Type,Incident Type,Force Type,Citizen Arrested,Citizen Sent to Hospital,Citizen Injured,Citizen Death,Citizen Injury Types,Officer Sent to Hospital,Officer Injured,Allegations and Findings,Citizen Demographics,Officer Demographics
22315,03/15/2019,12,23502,Officer Initiated Event,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(White, Male, 27)","(White, Male, 34, 9); (White, Male, 43, 10)"
22320,03/15/2019,17,23513,Traffic Stop,Use of force,"Hard Hand Control Tact., TARP",Yes,Yes,No,No,Other Injury/Condition,Yes,Yes,,"(Black, Male, 37)","(White, Male, 25, 1); (White, Male, 35, 4); (White, Male, 25, 0); (White, Female, 23, 3)"
22337,03/17/2019,20,23523,Suspicious Situation,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 16)","(White, Male, 29, 1); (Unknown, Male, 38, 5)"
22338,03/17/2019,8,23523,Officer Initiated Event,Use of force,"Empty/Soft Hand Control, Hard Hand Control Tact.",No,No,No,No,,No,No,,"(Black, Male, 18)","(White, Male, 28, 5); (White, Female, 22, 0); (Black, Male, 25, 1)"
22340,03/17/2019,20,23523,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Female, 37)","(White, Male, 28, 5); (White, Female, 22, 0); (Unknown, Male, 38, 5)"
22366,03/15/2019,22,23504,Service Call,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 43)","(Black, Female, 27, 3); (Black, Male, 25, 1)"
22368,03/18/2019,20,23510,Suspicious Situation,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 18)","(White, Male, 25, 3); (White, Male, 51, 11); (Black, Male, 24, 1)"
22377,03/19/2019,20,23502,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 22)","(White, Male, 28, 5); (White, Male, 25, 1)"
22381,03/20/2019,0,23505,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Hispanic, Female, 48)","(White, Male, 24, 0); (Black, Male, 43, 9)"
22390,03/20/2019,17,23510,Other,Use of force,Hard Hand Control Tact.,No,No,No,No,,No,No,,"(White, Female, 45)","(White, Male, 31, 7)"
22404,03/22/2019,15,23502,Traffic Stop,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,Yes,,"(Black, Female, 23)","(Black, Female, 33, 2)"
22408,03/24/2019,2,23504,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,No,No,No,,No,No,,"(Black, Male, 34)","(White, Male, 24, 3); (White, Male, 29, 4); (Unknown, Unknown, , 3)"
22410,03/24/2019,6,23502,Accident Investigation,Use of force,"Empty/Soft Hand Control, ECW",Yes,Yes,Yes,No,Other Injury/Condition,No,No,,"(Black, Male, 37)","(White, Male, 33, 9); (White, Male, 37, 9); (White, Male, 43, 11)"
22411,03/24/2019,8,23503,Suspicious Situation,Use of force,TARP,Yes,No,No,No,,No,No,,"(Black, Male, 30)","(White, Male, 27, 4); (White, Male, 31, 7); (White, Female, 32, 0); (White, Female, 26, 1); (Unknown, Male, 27, 2)"
22413,03/24/2019,23,23508,Assault/Disorderly Subj,Use of force,Empty/Soft Hand Control,Yes,Yes,No,No,,No,No,,"(Black, Male, 37)","(White, Male, 29, 1); (White, Male, 24, 3); (White, Male, 55, 24)"
