Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,,Arrest-Felony,Sunday,,,,CEW,CEW,CEW,,,,,,0600-1159,Stolen Vehicle,VEHICLE RECOVERED,,,August,,No weapon (unarmed),212461,East Precinct,8,,675518304,500540,White,Male,Yes,39,676018844,Active,Active,Active,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,Sunday,,,,PFA,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,No,August,,,836731,East Precinct,1,,477518302,466101,Black,Male,No,27,477984403,Active,,,,,,,,Self-Initiated,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,Sunday,,,,PFA,,,,,,,,0000-0559,Shots Fired,SHOTS FIRED,,No,August,,,649511,East Precinct,8,,477518302,466101,Black,Male,No,27,477984403,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,Sunday,,,,PFA,,,,,,,,1200-1759,Welfare Check,WELFARE CHECK - PRIORITY,,,August,,No weapon (unarmed),1053550,East Precinct,15,,19518308,371478,White,Male,Yes,31,19889786,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,Sunday,,,,PFA,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - PRIORITY,,,July,,,798721,East Precinct,5,,357518041,614942,White,Male,No,25,358132983,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,Sunday,,,,Takedown,,,,,,,,1200-1759,Suspicious,SUSPICIOUS - PRIORITY,,Unclear,July,,No weapon (unarmed),1087651,East Precinct,6,,343517861,414626,Black,Male,Yes,33,343932487,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,Kinetic Impact Projectile (KIP),,,,,,,,0000-0559,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,797721,East Precinct,4,,744517765,557140,Hispanic,Male,No,24,745074905,Aggressive,,,,,,,,Dispatched,Yes,No,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,PFA,,,,,,,,0000-0559,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,213461,East Precinct,1,,744517765,557140,Hispanic,Male,No,24,745074905,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,PFA,PFA,,,,,,,0000-0559,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,1102751,East Precinct,4,,744517765,557140,Hispanic,Male,No,24,745074905,Aggressive,Aggressive,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,Sunday,,,,Takedown,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),806220,North Precinct,10,,176517949,381478,White,Male,Yes,38,176899427,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
